Feature,Importance
V14,0.19574775956361476
V10,0.1151349464420901
V4,0.10343170970433352
V12,0.09952740103929532
V17,0.09698793094285481
V3,0.06932537599448743
V11,0.0563959132793822
V16,0.042100627452752046
V2,0.036274714095321736
V9,0.02573756650589692
V7,0.023220340066384026
V21,0.015161993373935045
V20,0.012080509397739535
V19,0.010632736865194958
V18,0.010027586746971968
Amount,0.009782435114081221
V27,0.009688642822845513
V1,0.009410940630641004
V8,0.008284950601380299
V26,0.006583186812533667
V13,0.006183476435872813
V28,0.0056493253871772115
V5,0.0054847745028998715
V15,0.004995655513423508
V6,0.004797852362547055
V22,0.004456491613739447
V23,0.0043076767611610655
Time,0.00329988470985997
V24,0.002644270961297641
V25,0.0026433243002855003
