Hour,"Обычные операции, %","Мошеннические операции, %"
0,2.70439477340274,1.2195121951219512
1,1.480751982835939,2.0325203252032518
2,1.1504844978281132,11.585365853658537
3,1.2222359003218262,3.4552845528455287
4,0.7688655188787085,4.67479674796748
5,1.0477815099449554,2.2357723577235773
6,1.4392487206091835,1.8292682926829267
7,2.539436892179449,4.67479674796748
8,3.611135536288975,1.8292682926829267
9,5.564954363997679,3.2520325203252036
10,5.8350772910328335,1.6260162601626018
11,5.909994196577739,10.772357723577237
12,5.417582610836572,3.4552845528455287
13,5.3982378699681695,3.4552845528455287
14,5.819953220899354,4.67479674796748
15,5.780560294040061,5.284552845528456
16,5.779153403795086,4.471544715447155
17,5.675746970789442,5.894308943089431
18,5.981393876510209,6.707317073170732
19,5.49742363223889,3.861788617886179
20,5.8871322300969,3.6585365853658534
21,6.220916940717163,3.2520325203252036
22,5.427782565112639,1.8292682926829267
23,3.8397552010973746,4.2682926829268295
