,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,Amount_Log
Time,1.0,0.13802382496146492,0.009419393526710266,-0.2366049935399144,-0.12706196223914745,0.1406904036156114,-0.054585504056521884,0.08832444675084197,-0.01589222824781805,0.04827682108142565,0.07972254425297347,-0.25902342925747135,0.14742680199302288,-0.07511395154137314,-0.0034641248206245417,-0.17573948956234473,0.04584110104808409,0.020614458559142894,0.1319300313120288,0.05142657496345952,-0.07831820198096656,0.006826739952130306,0.12557899431989553,0.04866750032009296,0.005275197075399951,-0.22949817180749052,-0.06550789048578691,0.009366045857448704,-0.01898346323315916,-0.04947455992952195,-0.05889358541586246,-0.054034722982848
V1,0.13802382496146492,1.0,-0.3191074583978036,0.411029148110659,-0.20146628274688777,0.30091589080092407,0.1097067311081694,0.45445489521764104,-0.08778057322339752,0.2297621642928602,0.39603942388649316,-0.23961315260665728,0.3396252301432076,-0.0201104744679142,0.2695431372358514,0.02183950839232806,0.33476195121688496,0.4126302246821144,0.26729056595755474,-0.08951468541795043,-0.17118546059288028,-0.1249094380155783,0.024625002251178002,-0.03835694933238429,0.003672797227370494,-0.009461756256574048,0.06573392404140867,0.07316157812994215,0.056849370767625605,-0.1551274658778571,-0.3661819391321702,-0.05607684213058264
V2,0.009419393526710266,-0.3191074583978036,1.0,-0.41911371290047444,0.1859832193021113,-0.2960325549772094,-0.03698346475593819,-0.3301320875318162,0.03790748525665246,-0.1973574884187486,-0.34291387824299624,0.22359307278416657,-0.2860519814794551,0.0234771434308667,-0.3006836583145049,3.910630127807892e-05,-0.29001070712156923,-0.34141066753140814,-0.23834242149296925,0.113013776347393,-0.10981369996015741,0.05548497856112659,-0.0065367831642355965,0.001125871415932962,-0.005688357163376713,0.07231559496329688,-0.017189743693877813,-0.015261688461502899,0.08770139733855294,-0.42439349273355687,0.36530284379817346,-0.4008617419904629
V3,-0.2366049935399144,0.411029148110659,-0.41911371290047444,1.0,-0.2989993522440808,0.4204438397017021,0.11522938803855162,0.5223626093094432,-0.13174382056283648,0.2846871485308598,0.5107216193322796,-0.35482454872927754,0.4918127522551236,-0.010848743722873509,0.45891071793248606,0.03077496169545659,0.4622094884788202,0.555204915712,0.33083010011205677,-0.12369663472303039,-0.07353494329462537,-0.035578987662259615,-0.009236538792579525,-0.03362365534551422,-0.004652430896726512,-0.002328312407550106,0.022884208366188794,0.06854748863608996,0.04683096640838998,-0.11303240155866477,-0.5675538354017355,0.011491767095033847
V4,-0.12706196223914745,-0.20146628274688777,0.1859832193021113,-0.2989993522440808,1.0,-0.1688313435617351,-0.09071395202819629,-0.30365246631592835,0.04922994756207959,-0.183419803697187,-0.3198542447216856,0.25127859843295774,-0.3610590512785262,-0.0009140153251596468,-0.3504086896794229,-0.031180080572764945,-0.2806428025850923,-0.32137177626152974,-0.19246219635511574,0.036607258286247314,0.11567116679139647,0.025527689258790832,-0.008161628130249413,0.009156885022569186,-0.03418569265492385,-0.0018612679247210252,0.000644830510943501,-0.0729984368355922,-0.049850906520984284,0.07934846972338698,0.4487655603392842,-0.02637988980759929
V5,0.1406904036156114,0.30091589080092407,-0.2960325549772094,0.4204438397017021,-0.1688313435617351,1.0,-0.03289157474490033,0.32907115452608116,-0.09516961335401192,0.20600248930551945,0.3922458194340189,-0.22409754750586994,0.33687276125227666,-0.009492518109622787,0.2757353824868909,0.017771138161445207,0.3671347586992148,0.4463655440960428,0.2712786650984716,-0.13411859840609427,-0.021706550449731847,-0.029800641861308097,0.007335520549689572,-0.06640886246068146,-0.019179247687481294,-0.027556096339850355,-0.013353950295350992,0.05178986445690884,0.04710509619024394,-0.37611021267574396,-0.27663788433636455,-0.2856627996617077
V6,-0.054585504056521884,0.1097067311081694,-0.03698346475593819,0.11522938803855162,-0.09071395202819629,-0.03289157474490033,1.0,0.16143073593028506,-0.13966985528271586,0.09576901189624629,0.13460822623382993,-0.09363876556775412,0.12800573358551237,-0.020560008886250727,0.13119319135694035,0.0004448228797577308,0.08328735442016993,0.15285653426211174,0.08723181977404564,-0.028131410765649564,-0.08258423795908747,0.08411948350927664,-0.03346182012855197,0.03644572704467897,-0.006285265836411726,-0.020193300191903036,0.06187414490964385,0.033822364947643596,-0.0035060971811970635,0.2840492576213456,-0.19298130140963585,0.1586469474333491
V7,0.08832444675084197,0.45445489521764104,-0.3301320875318162,0.5223626093094432,-0.30365246631592835,0.32907115452608116,0.16143073593028506,1.0,-0.027493566102431574,0.2655067993806621,0.5051640447854373,-0.34699675183511963,0.47459605530029403,-0.010689008248916061,0.41336917230600956,0.05459480765142975,0.4539784765611366,0.5797982885583423,0.37709924573172426,-0.10183604602075808,-0.06164063436040134,-0.1446808715092982,0.04911397150091844,-0.005984865850866077,0.017809863544810085,0.005802199780786825,0.045235589909364965,0.2037905069882513,0.016272788102975833,0.3034726681054887,-0.5235314715774917,0.11630658922464417
V8,-0.01589222824781805,-0.08778057322339752,0.03790748525665246,-0.13174382056283648,0.04922994756207959,-0.09516961335401192,-0.13966985528271586,-0.027493566102431574,1.0,-0.054861954775454684,-0.0665448300817579,0.06252710885872813,-0.06585129097978228,0.06460068461171607,-0.06103460699824271,0.040000722517133075,-0.0589804906024152,-0.13920619273478568,-0.07608998436781879,0.06388699038805219,0.12473283914472982,-0.3603424815760556,0.15504647783570513,-0.12291710959731705,-0.00357342253448078,0.046900466969690136,0.01750810505708692,0.09511872721454481,-0.017158700593636625,-0.06906761668620857,0.06410819716969951,0.0031075779702873837
V9,0.04827682108142565,0.2297621642928602,-0.1973574884187486,0.2846871485308598,-0.183419803697187,0.20600248930551945,0.09576901189624629,0.2655067993806621,-0.054861954775454684,1.0,0.3042714410591567,-0.23896258282193797,0.3066774395782571,-0.02919527084284829,0.3300555776032642,0.0228579450765083,0.30321676536375014,0.3396990499229045,0.22848124363904412,-0.10827711376842833,-0.0013486003406732504,0.03974182653108765,-0.04683147554428237,-0.02294962665703287,-0.006869395748241561,-0.03342104247270801,0.004521615657639691,0.10135842639074151,0.07665477617497411,-0.012612601821960896,-0.36086215707172914,-0.025480558512729963
